Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0266;NoCt;NoCt;0.972;-2.584;
B5;smpl01;Unknown;1;0.0266;NoCt;NoCt;0.972;-2.584;
B6;smpl01;Unknown;1;0.0266;NoCt;NoCt;0.972;-2.584;
C4;smpl02;Unknown;2;0.0266;NoCt;NoCt;0.972;-2.584;
C5;smpl02;Unknown;2;0.0266;NoCt;NoCt;0.972;-2.584;
C6;smpl02;Unknown;2;0.0266;NoCt;NoCt;0.972;-2.584;
D4;smpl03;Unknown;3;0.0266;36.43;3.606e-002;0.972;-2.584;
D5;smpl03;Unknown;3;0.0266;36.71;2.814e-002;0.972;-2.584;
D6;smpl03;Unknown;3;0.0266;NoCt;NoCt;0.972;-2.584;
E4;smpl04;Unknown;4;0.0266;37.04;2.087e-002;0.972;-2.584;
E5;smpl04;Unknown;4;0.0266;34.58;1.880e-001;0.972;-2.584;
E6;smpl04;Unknown;4;0.0266;NoCt;NoCt;0.972;-2.584;
F4;smpl05;Unknown;5;0.0266;NoCt;NoCt;0.972;-2.584;
F5;smpl05;Unknown;5;0.0266;NoCt;NoCt;0.972;-2.584;
F6;smpl05;Unknown;5;0.0266;NoCt;NoCt;0.972;-2.584;
G4;smpl06;Unknown;6;0.0266;NoCt;NoCt;0.972;-2.584;
G5;smpl06;Unknown;6;0.0266;NoCt;NoCt;0.972;-2.584;
G6;smpl06;Unknown;6;0.0266;NoCt;NoCt;0.972;-2.584;
B7;smpl07;Unknown;7;0.0266;NoCt;NoCt;0.972;-2.584;
B8;smpl07;Unknown;7;0.0266;NoCt;NoCt;0.972;-2.584;
B9;smpl07;Unknown;7;0.0266;NoCt;NoCt;0.972;-2.584;
C7;smpl08;Unknown;8;0.0266;NoCt;NoCt;0.972;-2.584;
C8;smpl08;Unknown;8;0.0266;NoCt;NoCt;0.972;-2.584;
C9;smpl08;Unknown;8;0.0266;NoCt;NoCt;0.972;-2.584;
D7;smpl09;Unknown;9;0.0266;NoCt;NoCt;0.972;-2.584;
D8;smpl09;Unknown;9;0.0266;NoCt;NoCt;0.972;-2.584;
D9;smpl09;Unknown;9;0.0266;NoCt;NoCt;0.972;-2.584;
E7;smpl10;Unknown;10;0.0266;34.78;1.567e-001;0.972;-2.584;
E8;smpl10;Unknown;10;0.0266;34.08;2.933e-001;0.972;-2.584;
E9;smpl10;Unknown;10;0.0266;33.90;3.453e-001;0.972;-2.584;
F7;smpl11;Unknown;11;0.0266;NoCt;NoCt;0.972;-2.584;
F8;smpl11;Unknown;11;0.0266;NoCt;NoCt;0.972;-2.584;
F9;smpl11;Unknown;11;0.0266;NoCt;NoCt;0.972;-2.584;
G7;smpl12;Unknown;12;0.0266;NoCt;NoCt;0.972;-2.584;
G8;smpl12;Unknown;12;0.0266;NoCt;NoCt;0.972;-2.584;
G9;smpl12;Unknown;12;0.0266;NoCt;NoCt;0.972;-2.584;
B10;smpl13;Unknown;13;0.0266;NoCt;NoCt;0.972;-2.584;
B11;smpl13;Unknown;13;0.0266;NoCt;NoCt;0.972;-2.584;
B12;smpl13;Unknown;13;0.0266;NoCt;NoCt;0.972;-2.584;
C10;smpl14;Unknown;14;0.0266;NoCt;NoCt;0.972;-2.584;
C11;smpl14;Unknown;14;0.0266;NoCt;NoCt;0.972;-2.584;
C12;smpl14;Unknown;14;0.0266;NoCt;NoCt;0.972;-2.584;
D10;smpl15;Unknown;15;0.0266;37.89;9.798e-003;0.972;-2.584;
D11;smpl15;Unknown;15;0.0266;NoCt;NoCt;0.972;-2.584;
D12;smpl15;Unknown;15;0.0266;37.01;2.156e-002;0.972;-2.584;
E10;smpl16;Unknown;16;0.0266;NoCt;NoCt;0.972;-2.584;
E11;smpl16;Unknown;16;0.0266;NoCt;NoCt;0.972;-2.584;
E12;smpl16;Unknown;16;0.0266;NoCt;NoCt;0.972;-2.584;
B1;std5e5;Standard;17;0.0266;18.82;5.00e+005;0.972;-2.584;
B2;std5e5;Standard;17;0.0266;18.04;5.00e+005;0.972;-2.584;
B3;std5e5;Standard;17;0.0266;18.31;5.00e+005;0.972;-2.584;
C1;std5e4;Standard;18;0.0266;19.65;5.00e+004;0.972;-2.584;
C2;std5e4;Standard;18;0.0266;19.69;5.00e+004;0.972;-2.584;
C3;std5e4;Standard;18;0.0266;20.53;5.00e+004;0.972;-2.584;
D1;std5e3;Standard;19;0.0266;22.67;5.00e+003;0.972;-2.584;
D2;std5e3;Standard;19;0.0266;22.74;5.00e+003;0.972;-2.584;
D3;std5e3;Standard;19;0.0266;22.16;5.00e+003;0.972;-2.584;
E1;std5e2;Standard;20;0.0266;27.43;5.00e+002;0.972;-2.584;
E2;std5e2;Standard;20;0.0266;26.89;5.00e+002;0.972;-2.584;
E3;std5e2;Standard;20;0.0266;26.06;5.00e+002;0.972;-2.584;
F1;std5e1;Standard;21;0.0266;27.72;5.00e+001;0.972;-2.584;
F2;std5e1;Standard;21;0.0266;29.09;5.00e+001;0.972;-2.584;
F3;std5e1;Standard;21;0.0266;28.36;5.00e+001;0.972;-2.584;
G1;std5e0;Standard;22;0.0266;30.00;5.00e+000;0.972;-2.584;
G2;std5e0;Standard;22;0.0266;30.97;5.00e+000;0.972;-2.584;
G3;std5e0;Standard;22;0.0266;30.72;5.00e+000;0.972;-2.584;
H1;ntc;NTC;23;0.0266;NoCt;NoCt;0.972;-2.584;
H2;ntc;NTC;23;0.0266;NoCt;NoCt;0.972;-2.584;
H3;ntc;NTC;23;0.0266;NoCt;NoCt;0.972;-2.584;
F10;notused;NTC;24;0.0266;NoCt;NoCt;0.972;-2.584;
F11;notused;NTC;24;0.0266;NoCt;NoCt;0.972;-2.584;
F12;notused;NTC;24;0.0266;NoCt;NoCt;0.972;-2.584;
