Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0347;35.84;3.721e+001;0.945;-3.215;
B5;smpl01;Unknown;1;0.0347;35.48;4.808e+001;0.945;-3.215;
B6;smpl01;Unknown;1;0.0347;37.76;9.40;0.945;-3.215;
C4;smpl02;Unknown;2;0.0347;NoCt;NoCt;0.945;-3.215;
C5;smpl02;Unknown;2;0.0347;NoCt;NoCt;0.945;-3.215;
C6;smpl02;Unknown;2;0.0347;NoCt;NoCt;0.945;-3.215;
D4;smpl03;Unknown;3;0.0347;NoCt;NoCt;0.945;-3.215;
D5;smpl03;Unknown;3;0.0347;NoCt;NoCt;0.945;-3.215;
D6;smpl03;Unknown;3;0.0347;NoCt;NoCt;0.945;-3.215;
E4;smpl04;Unknown;4;0.0347;NoCt;NoCt;0.945;-3.215;
E5;smpl04;Unknown;4;0.0347;NoCt;NoCt;0.945;-3.215;
E6;smpl04;Unknown;4;0.0347;NoCt;NoCt;0.945;-3.215;
F4;smpl05;Unknown;5;0.0347;NoCt;NoCt;0.945;-3.215;
F5;smpl05;Unknown;5;0.0347;NoCt;NoCt;0.945;-3.215;
F6;smpl05;Unknown;5;0.0347;NoCt;NoCt;0.945;-3.215;
G4;smpl06;Unknown;6;0.0347;NoCt;NoCt;0.945;-3.215;
G5;smpl06;Unknown;6;0.0347;NoCt;NoCt;0.945;-3.215;
G6;smpl06;Unknown;6;0.0347;NoCt;NoCt;0.945;-3.215;
B7;smpl07;Unknown;7;0.0347;NoCt;NoCt;0.945;-3.215;
B8;smpl07;Unknown;7;0.0347;NoCt;NoCt;0.945;-3.215;
B9;smpl07;Unknown;7;0.0347;NoCt;NoCt;0.945;-3.215;
C7;smpl08;Unknown;8;0.0347;NoCt;NoCt;0.945;-3.215;
C8;smpl08;Unknown;8;0.0347;NoCt;NoCt;0.945;-3.215;
C9;smpl08;Unknown;8;0.0347;NoCt;NoCt;0.945;-3.215;
D7;smpl09;Unknown;9;0.0347;NoCt;NoCt;0.945;-3.215;
D8;smpl09;Unknown;9;0.0347;NoCt;NoCt;0.945;-3.215;
D9;smpl09;Unknown;9;0.0347;NoCt;NoCt;0.945;-3.215;
E7;smpl10;Unknown;10;0.0347;NoCt;NoCt;0.945;-3.215;
E8;smpl10;Unknown;10;0.0347;NoCt;NoCt;0.945;-3.215;
E9;smpl10;Unknown;10;0.0347;NoCt;NoCt;0.945;-3.215;
F7;smpl11;Unknown;11;0.0347;NoCt;NoCt;0.945;-3.215;
F8;smpl11;Unknown;11;0.0347;NoCt;NoCt;0.945;-3.215;
F9;smpl11;Unknown;11;0.0347;NoCt;NoCt;0.945;-3.215;
G7;smpl12;Unknown;12;0.0347;NoCt;NoCt;0.945;-3.215;
G8;smpl12;Unknown;12;0.0347;NoCt;NoCt;0.945;-3.215;
G9;smpl12;Unknown;12;0.0347;NoCt;NoCt;0.945;-3.215;
B10;smpl13;Unknown;13;0.0347;NoCt;NoCt;0.945;-3.215;
B11;smpl13;Unknown;13;0.0347;NoCt;NoCt;0.945;-3.215;
B12;smpl13;Unknown;13;0.0347;NoCt;NoCt;0.945;-3.215;
C10;smpl14;Unknown;14;0.0347;NoCt;NoCt;0.945;-3.215;
C11;smpl14;Unknown;14;0.0347;NoCt;NoCt;0.945;-3.215;
C12;smpl14;Unknown;14;0.0347;NoCt;NoCt;0.945;-3.215;
D10;smpl15;Unknown;15;0.0347;NoCt;NoCt;0.945;-3.215;
D11;smpl15;Unknown;15;0.0347;NoCt;NoCt;0.945;-3.215;
D12;smpl15;Unknown;15;0.0347;NoCt;NoCt;0.945;-3.215;
E10;smpl16;Unknown;16;0.0347;NoCt;NoCt;0.945;-3.215;
E11;smpl16;Unknown;16;0.0347;NoCt;NoCt;0.945;-3.215;
E12;smpl16;Unknown;16;0.0347;NoCt;NoCt;0.945;-3.215;
B1;std5e5;Standard;17;0.0347;23.18;5.00e+005;0.945;-3.215;
B2;std5e5;Standard;17;0.0347;23.57;5.00e+005;0.945;-3.215;
B3;std5e5;Standard;17;0.0347;23.67;5.00e+005;0.945;-3.215;
C1;std5e4;Standard;18;0.0347;25.65;5.00e+004;0.945;-3.215;
C2;std5e4;Standard;18;0.0347;25.74;5.00e+004;0.945;-3.215;
C3;std5e4;Standard;18;0.0347;24.53;5.00e+004;0.945;-3.215;
D1;std5e3;Standard;19;0.0347;28.59;5.00e+003;0.945;-3.215;
D2;std5e3;Standard;19;0.0347;28.53;5.00e+003;0.945;-3.215;
D3;std5e3;Standard;19;0.0347;28.69;5.00e+003;0.945;-3.215;
E1;std5e2;Standard;20;0.0347;30.61;5.00e+002;0.945;-3.215;
E2;std5e2;Standard;20;0.0347;30.83;5.00e+002;0.945;-3.215;
E3;std5e2;Standard;20;0.0347;30.84;5.00e+002;0.945;-3.215;
F1;std5e1;Standard;21;0.0347;37.23;5.00e+001;0.945;-3.215;
F2;std5e1;Standard;21;0.0347;37.28;5.00e+001;0.945;-3.215;
F3;std5e1;Standard;21;0.0347;35.96;5.00e+001;0.945;-3.215;
G1;std5e0;Standard;22;0.0347;NoCt;NoCt;0.945;-3.215;
G2;std5e0;Standard;22;0.0347;NoCt;NoCt;0.945;-3.215;
G3;std5e0;Standard;22;0.0347;NoCt;NoCt;0.945;-3.215;
H1;ntc;NTC;23;0.0347;NoCt;NoCt;0.945;-3.215;
H2;ntc;NTC;23;0.0347;NoCt;NoCt;0.945;-3.215;
H3;ntc;NTC;23;0.0347;NoCt;NoCt;0.945;-3.215;
F10;notused;NTC;24;0.0347;NoCt;NoCt;0.945;-3.215;
F11;notused;NTC;24;0.0347;NoCt;NoCt;0.945;-3.215;
F12;notused;NTC;24;0.0347;NoCt;NoCt;0.945;-3.215;
