"","Well","WellName","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","MONISprojectno","AssayID","speciesabbr","season","qpcrrundate","gen_specnm","Genus","species","dk_comnm","Wellname.season.no1","gen_specnm.season","Harbour","Coll_date","volfilt_mL","declat","declon","Harbour.Welltype","col.06","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"4","C4","smpl02","Unknown",2,0.1073,33.19,17.36,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.efteraar.1","Bonnemaisonia_hamifera.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",1.2152,1215.2,1216.2,3.08500499907665
"5","C5","smpl02","Unknown",2,0.1073,33.82,9.84,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.efteraar.1","Bonnemaisonia_hamifera.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.6888,688.8,689.8,2.83872319003137
"6","C6","smpl02","Unknown",2,0.1073,33.58,12.18,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.efteraar.1","Bonnemaisonia_hamifera.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.8526,852.6,853.6,2.93125440641641
"22","C7","smpl08","Unknown",8,0.1073,29.74,403.3,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl08.efteraar.1","Bonnemaisonia_hamifera.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",28.231,28231,28232,4.45074164535191
"23","C8","smpl08","Unknown",8,0.1073,29.97,325.4,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl08.efteraar.1","Bonnemaisonia_hamifera.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",22.778,22778,22779,4.35753465459758
"24","C9","smpl08","Unknown",8,0.1073,29.73,406.3,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl08.efteraar.1","Bonnemaisonia_hamifera.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",28.441,28441,28442,4.45396013208671
"37","B10","smpl13","Unknown",13,0.1073,34.21,6.86,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl13.efteraar.1","Bonnemaisonia_hamifera.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.60025,600.25,601.25,2.77905508938189
"38","B11","smpl13","Unknown",13,0.1073,33.91,9.02,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl13.efteraar.1","Bonnemaisonia_hamifera.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.78925,789.25,790.25,2.89776450451162
"39","B12","smpl13","Unknown",13,0.1073,34.43,5.62,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl13.efteraar.1","Bonnemaisonia_hamifera.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.49175,491.75,492.75,2.69262663295148
"40","C10","smpl14","Unknown",14,0.1073,36.54,0.8234,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl14.efteraar.1","Bonnemaisonia_hamifera.efteraar","Roedby","2017.sep.23",200,54.6541,11.3461,"Roedby.Unknown","#F0FF00",0.28819,288.19,289.19,2.46118327126459
