"","spc.season","Harbour","meanQuantitycopies","LOD","LOQ","eDNA_eval_mean","eDNA_col_eval_mean","spc","season","Genus","species","dk_comnm","Harbour.Saeson.EuroFinsExtrSmpleno","Coll_date","volfilt_mL","declat","declon","EuroFinsampleno","gen_specnm.Wellname.season.no1","freq_NoCt","freq_belowLOD","freq_AbLOD_BeLOQ","freq_aboveLOQ","freq_repl_eval","eDNA_eval_p_repl_col","eDNA_eval_p_repl_descr","AssayIDcode","AssayIDNo","spc.Harbour","conv_rec_val","col.f.conv_rec_val","valid_comb_score","valid_hexcol","valid_score","categ_valid","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L","no_for_log.10_eDNAlvls","col_log.10_eDNAlvls","col.f.green.hexcol.ab.LOQ","eDNA_eval_t_repl_col"
"1","Acipenser_baerii.efteraar","AalborgHavn",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","AalborgHavn.efteraar.1","2017.oct.11",1000,57.0514,9.9319,"smpl04","Acipenser_baerii.smpl04.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"41","Acipenser_baerii.efteraar","Aalborgportland",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Aalborgportland.efteraar.1","2017.oct.11",2500,57.0514,9.9319,"smpl03","Acipenser_baerii.smpl03.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Aalborgportland",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"81","Acipenser_baerii.efteraar","Aarhus",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Aarhus.efteraar.1","2017.sep.19",1000,56.1597,10.2301,"smpl02","Acipenser_baerii.smpl02.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"121","Acipenser_baerii.efteraar","Esbjerg",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Esbjerg.efteraar.1","2017.oct.17",200,55.4578,8.442,"smpl01","Acipenser_baerii.smpl01.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"161","Acipenser_baerii.efteraar","Fredericia",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Acipenser_baerii.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"201","Acipenser_baerii.efteraar","Frederikshavn",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Frederikshavn.efteraar.1","2017.oct.06",3000,57.4421,10.5622,"smpl06","Acipenser_baerii.smpl06.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"241","Acipenser_baerii.efteraar","Gedser",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Gedser.efteraar.1","2017.sep.23",1000,54.5719,11.9277,"smpl07","Acipenser_baerii.smpl07.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Gedser",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"281","Acipenser_baerii.efteraar","Grenaa",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Grenaa.efteraar.1","2017.sep.19",1000,56.4126,10.9332,"smpl08","Acipenser_baerii.smpl08.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"321","Acipenser_baerii.efteraar","Helsingoer",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Helsingoer.efteraar.1","2017.sep.13",1000,56.0357,12.6176,"smpl09","Acipenser_baerii.smpl09.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Helsingoer",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"361","Acipenser_baerii.efteraar","Hirtshals",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Hirtshals.efteraar.1","2017.nov.08",600,57.5975,9.9772,"smpl10","Acipenser_baerii.smpl10.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
